PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
63583|1075|100.0|3|
63585|1077|10.0|3|
63587|1078|10.0|3|
63588|1079|100.0|3|
63589|1080|100.0|3|
63590|1081|1.0|3|
63590|1100|10.0|3|
63590|1101|25.0|3|
63590|1102|1.0|3|
63590|1103|1.0|3|
63591|1082|100.0|3|
63592|1082|50.0|3|
63594|1084|25.0|3|
63595|1085|200.0|3|
63597|1087|25.0|3|
63601|1091|100.0|3|
63602|1092|25.0|3|
63603|1093|25.0|3|
63604|1097|10.0|3|
63606|1096|100.0|3|
63609|1104|1.0|3|
63609|1105|1.0|3|
63609|1106|1.0|3|
63609|1107|10.0|3|
63610|1108|1.0|3|
63610|1109|1.0|3|
63610|1110|5.0|3|
63614|1120|1.0|3|
63615|1112|10.0|3|
63616|1113|10.0|3|
63617|1114|10.0|3|
63618|1115|10.0|3|
63619|1116|10.0|3|
63620|1117|10.0|3|
63621|1118|10.0|3|
63622|1119|10.0|3|
63624|1121|100.0|3|
63625|1122|100.0|3|
63626|1123|10.0|3|
63627|1124|10.0|3|
63630|1125|10.0|3|
63631|1126|10.0|3|
63632|1127|10.0|3|
63633|1128|10.0|3|
63636|1129|10.0|3|
63637|1130|10.0|3|
63638|1131|10.0|3|
63644|1133|50.0|3|
63645|1134|50.0|3|
63649|1135|50.0|3|
63657|1136|50.0|3|
63665|1137|50.0|3|
63666|1138|50.0|3|
63667|1139|10.0|3|
63668|1140|50.0|3|
63669|1141|100.0|3|
63670|1142|1.0|3|
63670|1143|1.0|3|
63670|1144|10.0|3|
63670|1145|1.0|3|
63671|1146|1.0|3|
63671|1147|1.0|3|
63671|1148|10.0|3|
63671|1149|10.0|3|
63671|1150|1.0|3|
63672|1151|25.0|3|
63675|1156|1.0|3|
63676|1157|1.0|3|
63677|1158|1.0|3|
63678|1159|1.0|3|
63679|1160|1.0|3|
63681|1161|50.0|3|
63682|1162|50.0|3|
63683|1163|50.0|3|
63684|1164|100.0|3|
63685|1165|10.0|3|
63686|1166|50.0|3|
63692|1167|50.0|3|
63693|1168|50.0|3|
63696|1169|100.0|3|
63705|1170|50.0|3|
63712|1171|100.0|3|
63715|1172|100.0|3|
63716|1173|100.0|3|
63717|1174|100.0|3|
63718|1175|100.0|3|
63719|1176|100.0|3|
63720|1177|100.0|3|
63721|1178|100.0|3|
63722|1179|100.0|3|
63723|1180|100.0|3|
63724|1181|50.0|3|
63725|1182|100.0|3|
63765|1183|100.0|3|
63766|1184|100.0|3|
63862|1186|100.0|3|
63863|1187|100.0|3|
63864|1188|100.0|3|
63865|1189|100.0|3|
63866|1190|100.0|3|
63867|1191|100.0|3|
63868|1192|100.0|3|
63869|1193|100.0|3|
63870|1194|100.0|3|
63871|1195|100.0|3|
63977|1205|100.0|3|
63978|1206|100.0|3|
63979|1207|100.0|3|
63985|1208|100.0|3|
63986|1209|1.0|3|
64049|1215|30.0|3|
